Date,Open,High,Low,Close,Volume,Adj Close
08-06-2015,81.74,82.14,79.75,80.28,3863400,76.105
09-06-2015,79.95,80.98,79.03,80.85,4552600,76.646
10-06-2015,80.88,84.15,80.32,83.51,4667800,79.167
11-06-2015,83.62,85.68,83.18,84.62,5170100,80.22
12-06-2015,84,85.86,83.07,84.15,4278300,79.774
15-06-2015,82.54,83.22,81.63,82.25,3587100,77.973
16-06-2015,81.49,83.07,80.34,82.8,3976600,78.494
17-06-2015,83.19,83.23,81.19,81.57,3591600,77.328
18-06-2015,81.1,81.69,79.56,81.66,5074300,77.414
19-06-2015,81.92,83.5,81.49,81.6,10173500,77.357
22-06-2015,84.79,85.71,83.66,85.48,5902400,81.035
23-06-2015,86.63,87.63,86.01,86.74,4471200,82.23
24-06-2015,86.76,86.99,84.43,85.85,4203500,81.386
25-06-2015,85,87.2,84.68,86.31,2508500,81.822
26-06-2015,85.9,87.32,85.34,86.61,2924200,82.106
29-06-2015,81.8,84.69,81.6,82.81,6219100,78.504
30-06-2015,82.73,83.77,81.21,81.64,7019900,77.395
01-07-2015,83.5,85.29,82.79,84.1,5702800,79.727
02-07-2015,84.5,84.57,82.67,82.98,2870600,78.665
03-07-2015,83.04,83.47,82.12,82.75,2664100,78.447
06-07-2015,81.1,82.93,81.05,82.03,4584000,77.764
07-07-2015,82,82.2,79.34,79.67,5272000,75.527
08-07-2015,79.33,79.98,77.25,79.13,6509500,75.015
09-07-2015,79.76,81.55,79.52,80.99,3684500,76.779
10-07-2015,83.15,83.2,81.85,82.92,4727100,78.608
13-07-2015,84.4,84.63,82.58,83.53,4873400,79.186
14-07-2015,83.31,83.33,81.67,83.33,3673200,78.997
15-07-2015,83.05,83.96,82.42,83.29,2880200,78.959
16-07-2015,84.12,85.98,83.57,85.08,4418000,80.656
17-07-2015,85.8,85.99,84.07,84.44,3815700,80.049
20-07-2015,84.8,85.66,84.33,85.04,2825300,80.618
21-07-2015,85.65,86.59,84.92,85.07,3169900,80.646
22-07-2015,84.7,84.91,83.21,84.26,3142200,79.878
23-07-2015,86.43,86.45,82.18,83.72,6355400,79.367
24-07-2015,83.88,84.5,81.47,81.89,4386200,77.632
27-07-2015,81.31,81.91,79.46,79.78,4367600,75.631
28-07-2015,80.4,81.66,79.93,80.85,4485200,76.646
29-07-2015,81.41,81.58,79.84,81.08,3396700,76.864
30-07-2015,81.33,81.39,79.77,80.67,3342200,76.475
31-07-2015,80.78,81.47,80.42,81.39,4616900,77.158
03-08-2015,81.25,82.17,80.15,82.12,3053300,77.85
04-08-2015,81.95,82.51,81.34,82.4,2605200,78.115
05-08-2015,82.6,84.99,82.58,84.59,3920700,80.191
06-08-2015,84.49,85.12,83.59,83.96,2420700,79.594
07-08-2015,83.63,84.28,83.1,83.8,3000000,79.442
10-08-2015,84.21,84.34,83.07,84.27,1755400,79.888
11-08-2015,83.16,83.26,79.58,79.93,6959600,75.774
12-08-2015,78.1,78.12,75.61,76.04,8546800,72.086
13-08-2015,77.74,77.85,76.66,77,4611000,72.996
14-08-2015,77.24,77.88,76.34,76.96,3092100,72.958
17-08-2015,77.61,78.08,75.38,76.34,3606200,72.37
18-08-2015,76.03,76.73,75.68,75.8,2758600,71.858
19-08-2015,75,75.22,73.7,73.83,4443100,69.991
20-08-2015,73,74.06,72.09,72.44,5425300,68.673
21-08-2015,70.59,72.81,70.1,70.37,8577300,66.711
24-08-2015,67,69.08,65.4,67.08,13853900,63.592
25-08-2015,68.6,71.63,67.55,70.96,9841100,67.27
26-08-2015,70.24,71.29,68.79,70.14,5473500,66.493
27-08-2015,72.6,73.53,72.03,72.71,5279600,68.929
28-08-2015,72.94,73.05,71.37,72.45,3783600,68.683
31-08-2015,71.5,72,70.81,71.66,2755000,67.934
01-09-2015,70.36,70.65,69.12,69.91,4903500,66.275
02-09-2015,70.5,70.94,69.27,69.68,3017000,66.057
03-09-2015,70.73,72.83,70.47,72.08,4870000,68.332
04-09-2015,71.2,71.27,69.69,70.57,5424600,66.9
07-09-2015,71.16,71.75,70.8,71.46,2277000,67.744
08-09-2015,72.35,74.12,72.31,73.27,4215700,69.46
09-09-2015,76.57,76.72,74.2,74.2,5564300,70.342
10-09-2015,73.3,74.88,73.3,73.9,3848900,70.057
11-09-2015,73.8,74.36,72.82,73.56,2797400,69.735
14-09-2015,73.5,74.61,73.44,74.14,3320600,70.285
15-09-2015,74.73,75.82,74.32,75.13,4394700,71.223
16-09-2015,76.15,76.65,74.69,75.3,4167900,71.384
17-09-2015,75.78,75.88,74.96,75.5,3756700,71.574
18-09-2015,75.01,75.01,71.74,72.28,11264100,68.521
21-09-2015,70,71.95,68.65,71.25,7707200,67.545
22-09-2015,71.35,71.39,65.52,66.25,12696100,62.805
23-09-2015,65.53,67.96,63.14,66.42,8503100,62.966
24-09-2015,66.68,68.31,62.6,63.48,13826300,60.179
25-09-2015,65.33,66.77,65.15,65.72,6886600,62.303
28-09-2015,65.3,65.31,63.06,63.59,5270600,60.283
